
         The numerical solution of Blasius equation
             shooting by Newton-Rhapson method


     eta      f(eta)        f'(eta)       f''(eta)         V    
  10.4000   8.679212343   1.000000000   0.000000002   0.860393827
  10.5000   8.779212343   1.000000000   0.000000001   0.860393828
  10.6000   8.879212343   1.000000000   0.000000001   0.860393828
  10.7000   8.979212343   1.000000000   0.000000000   0.860393828
  10.8000   9.079212342   1.000000000   0.000000000   0.860393828
  10.9000   9.179212342   1.000000000   0.000000000   0.860393829
  11.0000   9.279212342   1.000000000   0.000000000   0.860393829
  11.1000   9.379212342   1.000000000   0.000000000   0.860393829
  11.2000   9.479212342   1.000000000   0.000000000   0.860393829
  11.3000   9.579212342   1.000000000   0.000000000   0.860393829
  11.4000   9.679212342   1.000000000   0.000000000   0.860393829
  11.5000   9.779212342   1.000000000   0.000000000   0.860393829
  11.6000   9.879212342   1.000000000   0.000000000   0.860393829
  11.7000   9.979212342   1.000000000   0.000000000   0.860393829
  11.8000  10.079212342   1.000000000   0.000000000   0.860393829
  11.9000  10.179212342   1.000000000   0.000000000   0.860393829
  12.0000  10.279212342   1.000000000   0.000000000   0.860393829
